Falco rusticolus
Aythya collaris
Gavia immer
Larus atricilla
Anas formosa
Cygnus buccinator
Thalasseus maximus
Coragyps atratus
Strix varia
Larus delawarensis
Pelecanus erythrorhynchos
Buteo lineatus
Anser rossii
Aythya affinis
Anas discors
Birds
Bird
birds
bird
Al indeterminatum fau
Al indeterminatum
