"dyr_anon","paritet","kalv_stoer","kalv_kon","klv_dato","metritis","metritis_dato","Efterbyrd","Efterbyrd_dato","maelk","fedt_pct","prot_pct","Celletal","ydelse_dato"
2515121353,3,4,1,2018-10-14,0,,0,,21.2,3.73,3.83,222,2019-05-21
2515121354,4,3,2,2019-06-15,0,,0,,,0,0,,2019-05-21
2515121356,4,,1,2019-07-31,0,,0,,40.9,5.3,3.27,371,2019-09-03
2515121360,3,3,2,2019-06-10,0,,0,,32.6,5.31,3.25,51,2019-09-03
2515121363,3,,2,2019-08-03,0,,1,2019-08-06,32.6,4.53,3.88,417,2019-09-03
2515121365,3,4,2,2018-11-09,0,,0,,24.5,3.62,3.63,75,2019-05-21
2515121367,3,3,2,2019-01-04,0,,0,,29.5,5.26,3.88,162,2019-09-03
2515121369,2,3,2,2018-05-28,1,,0,,,0,0,,2019-09-03
2515121371,4,3,2,2019-07-07,0,,1,2019-07-10,21.9,4.11,3.58,2264,2019-09-03
2515121372,3,3,1,2018-08-22,0,,1,2018-08-26,,0,0,,2019-09-03
2515121477,3,2,1,2019-04-10,1,2019-04-17,0,,40.1,3.89,3.89,102,2019-09-03
2515121478,3,3,1,2019-09-09,1,,0,,,0,0,,2019-09-03
2515121479,3,4,1,2019-03-14,0,,0,,30.3,3.78,3.98,5743,2019-09-03
2515121480,3,3,1,2018-12-07,0,,0,,26.9,5.84,4.18,19,2019-09-03
2515121482,2,4,1,2018-01-11,0,,0,,20.3,5.98,4.8,66,2019-05-21
2515121483,3,2,2,2018-11-28,0,,0,,35.4,4.18,3.68,201,2019-09-03
2515121484,4,,1,2019-08-17,0,,0,,37.7,5.45,3.31,2194,2019-09-03
2515121488,2,2,1,2017-11-08,0,,0,,20.5,4.62,4.05,222,2019-02-19
2515121490,1,4,1,2017-05-23,0,,0,,24.7,4.81,3.89,859,2019-03-19
2515121491,3,2,2,2019-07-21,0,,0,,46,3.41,2.94,10,2019-09-03
2515121492,3,4,2,2019-08-30,0,,0,,32.2,5.94,4.2,3916,2019-09-03
2515121493,3,3,2,2019-08-15,0,,0,,47.9,6.16,3.01,59,2019-09-03
2515121494,2,3,1,2018-06-16,1,2018-06-27,0,,22.1,6.13,4.54,212,2019-09-03
2515121495,3,3,1,2018-12-21,0,,0,,35.9,3.95,3.59,31,2019-09-03
2515121496,2,2,2,2018-09-23,0,,0,,20,5.54,5.04,26,2019-09-03
2515121497,3,3,1,2019-01-08,0,,0,,20.3,5.11,4.09,1130,2019-09-03
2515121498,3,3,2,2018-12-29,0,,0,,20.5,4.77,4.24,116,2019-09-03
2515121500,2,3,2,2018-10-20,0,,0,,,0,0,,2019-09-03
2515121503,3,3,1,2019-01-20,0,,0,,29.5,5.08,4.28,149,2019-09-03
2515121504,3,2,2,2019-01-02,1,2019-01-14,0,,20.3,3.55,3.96,1639,2019-09-03
2515121505,3,3,2,2019-04-13,0,,0,,33.1,4.11,3.44,127,2019-09-03
2515121506,3,4,1,2019-07-27,0,,0,,34.4,3.58,3.24,13,2019-09-03
2515121509,3,2,2,2018-12-03,0,,0,,28.3,5.56,4.04,151,2019-09-03
2515121510,3,3,1,2019-06-29,0,,0,,42.1,4.27,2.9,37,2019-09-03
2515121512,3,2,1,2019-07-04,0,,0,,40.9,4.57,3.14,50,2019-09-03
2515121513,3,3,2,2019-01-18,0,,0,,22.2,5.02,4.22,167,2019-09-03
2515121514,3,3,1,2019-09-09,0,,0,,,0,0,,2019-09-03
2515121516,3,4,1,2018-12-31,0,,0,,27.7,4.49,3.66,53,2019-09-03
2515121518,3,3,1,2019-01-18,0,,0,,29.4,4.59,3.81,96,2019-09-03
2515121519,3,3,1,2019-06-01,0,,0,,47.8,4.41,3.18,48,2019-09-03
2515121523,2,3,2,2018-10-06,0,,0,,21.7,4.4,3.83,228,2019-05-21
2515121524,3,3,2,2019-08-18,0,,0,,32.1,8.57,5.34,359,2019-09-03
2515121577,3,3,1,2019-01-14,1,,0,,27.5,4.58,4.3,243,2019-09-03
2515121578,3,3,1,2019-04-25,0,,0,,35.5,4.4,3.59,514,2019-09-03
2515121582,3,3,1,2019-03-01,0,,0,,31.1,5.3,3.71,377,2019-09-03
2515121586,3,2,2,2019-07-07,0,,0,,43.2,4.67,3.17,99,2019-09-03
2515121588,3,3,1,2019-07-12,0,,0,,38.4,4.4,3.44,253,2019-09-03
2515121589,3,3,2,2019-07-03,0,,0,,38.3,4.92,3.5,54,2019-09-03
2515121590,3,,1,2019-08-05,0,,0,,37.4,5.39,3.04,11,2019-09-03
2515121593,2,2,2,2018-10-09,0,,0,,22.4,5.38,4.25,163,2019-09-03
2515121594,2,4,1,2018-10-30,1,2018-11-12,0,,26.2,5.59,4.42,153,2019-09-03
2515121595,3,,8,2019-07-13,0,,1,2019-07-17,31.8,4.01,3.81,140,2019-09-03
2515121597,2,3,1,2018-06-16,0,,0,,12.2,5.93,4.46,525,2019-02-19
2515121598,3,3,2,2019-05-06,0,,0,,30.1,4.47,3.83,760,2019-09-03
2515121600,2,3,1,2018-03-26,0,,0,,20.7,6.11,4.34,348,2019-01-15
2515121601,3,3,2,2019-03-18,0,,0,,38.5,5.04,3.22,541,2019-05-21
2515121604,2,3,2,2018-08-10,0,,0,,16.6,4.88,4.28,123,2019-05-21
2515121605,2,2,2,2019-01-03,0,,0,,26.5,4.46,4.18,196,2019-09-03
2515121606,3,,8,2019-07-18,0,,0,,24.5,4.59,4.13,362,2019-09-03
2515121607,2,3,1,2018-12-19,0,,0,,23,5.92,4.63,255,2019-09-03
2515121608,2,3,2,2019-01-14,1,,0,,30.9,4.61,4.18,50,2019-09-03
2515121609,3,,8,2019-03-30,0,,0,,24.9,5.92,4.13,9999,2019-05-21
2515121610,2,3,1,2018-09-24,0,,0,,23.6,4.77,3.94,110,2019-03-19
2515121611,2,3,2,2018-07-14,0,,0,,14,4.72,4.42,379,2019-09-03
2515121612,3,3,1,2019-05-26,0,,0,,35.9,4.23,3.5,605,2019-09-03
2515121613,3,3,1,2019-07-25,0,,0,,41.8,5.16,3.51,172,2019-09-03
2515121614,2,3,1,2019-03-31,0,,0,,34.9,4.58,3.57,35,2019-09-03
2515121615,3,2,2,2019-05-18,0,,0,,27.6,5.68,3.6,1051,2019-09-03
2515121616,3,,1,2019-08-03,0,,0,,31,4.33,3.18,46,2019-09-03
2515121618,3,3,1,2019-06-25,0,,0,,,0,0,,2019-05-21
2515121619,2,2,2,2018-08-14,0,,1,2018-08-18,,0,0,,2019-09-03
2515121623,2,4,1,2018-09-26,0,,0,,23.3,4.06,4.17,9999,2019-07-30
2515121624,2,3,2,2018-10-07,0,,0,,22.1,5.59,4.6,138,2019-09-03
2515121625,2,2,1,2018-08-06,0,,0,,23.4,5.47,4.12,276,2019-09-03
2515121678,2,2,1,2018-07-14,0,,1,2018-07-16,,0,0,,2019-09-03
2515121679,2,3,2,2018-09-14,0,,0,,22.4,3.92,4.01,369,2019-09-03
2515121680,2,3,2,2018-11-29,0,,0,,22.1,5.6,4.33,20,2019-09-03
2515121681,1,2,2,2017-07-12,0,,0,,19.6,5.05,4.25,117,2019-03-19
2515121684,3,3,2,2019-07-25,0,,0,,38.8,3.98,3.65,419,2019-09-03
2515121685,3,2,2,2019-06-17,0,,0,,45.9,3.4,3.34,115,2019-09-03
2515121687,1,2,2,2017-08-01,0,,0,,20.9,5.05,4.18,206,2019-04-24
2515121688,2,3,1,2018-12-31,0,,0,,27.7,4.92,4.05,397,2019-09-03
2515121689,2,3,1,2019-02-05,0,,0,,32.7,4.32,3.67,325,2019-09-03
2515121690,2,3,1,2018-10-09,0,,0,,29.4,6.08,4.29,114,2019-09-03
2515121691,2,2,1,2018-08-11,0,,0,,20.8,5.44,4.2,986,2019-03-19
2515121692,2,2,2,2019-05-23,0,,0,,37.3,3.73,3.17,99,2019-09-03
2515121693,3,3,1,2019-07-05,0,,0,,42.2,4.99,3.46,2684,2019-09-03
2515121695,3,3,2,2019-06-30,0,,0,,22,5.02,3.93,123,2019-09-03
2515121696,2,2,2,2018-07-06,0,,0,,18.4,5.09,4.09,617,2019-01-15
2515121697,2,2,1,2018-06-23,0,,0,,,0,0,,2019-09-03
2515121698,3,3,2,2019-06-28,0,,0,,40.8,4.38,3.41,20,2019-09-03
2515121699,1,2,2,2017-12-06,0,,0,,23.5,4.86,4.23,31,2019-07-30
2515121700,2,3,2,2018-08-19,0,,0,,8.4,4.97,5.34,1081,2019-03-19
2515121701,2,3,2,2018-07-21,0,,1,2018-07-24,23.7,5.68,4.3,137,2019-05-21
2515121702,3,3,1,2019-08-11,0,,0,,43.7,4.32,3.41,31,2019-09-03
2515121703,2,3,1,2019-05-16,0,,0,,44.2,4.23,3.55,279,2019-09-03
2515121704,2,3,1,2019-01-06,1,2019-01-16,0,,27.5,5.06,4.11,69,2019-09-03
2515121706,2,4,1,2018-11-13,0,,0,,,0,0,,2019-09-03
2515121707,2,4,1,2019-03-28,0,,0,,38.9,4.74,3.7,112,2019-09-03
2515121708,3,3,1,2019-08-15,0,,0,,44,3.66,3.24,68,2019-09-03
2515121709,2,3,2,2018-11-19,1,2018-12-10,0,,23,5.85,4.03,263,2019-09-03
2515121710,2,2,1,2019-06-22,0,,0,,42.6,3.24,3.39,128,2019-09-03
2515121711,2,3,1,2019-01-11,0,,0,,29.1,4.32,4.07,114,2019-09-03
2515121713,2,,2,2019-08-21,0,,0,,38.7,4.91,3.6,1221,2019-09-03
2515121714,2,3,1,2019-02-05,0,,1,2019-02-08,19.1,6.17,3.59,38,2019-02-19
2515121715,2,3,1,2019-02-24,0,,0,,35.1,4.48,3.83,680,2019-09-03
2515121716,2,3,2,2018-11-03,0,,0,,18.3,5.53,4.41,196,2019-09-03
2515121717,2,3,2,2019-01-27,0,,0,,31,6.11,4.52,452,2019-09-03
2515121720,2,2,1,2018-11-29,0,,0,,28.4,3.71,3.84,20,2019-02-19
2515121721,3,3,1,2019-08-26,0,,0,,24.5,5.71,4.08,544,2019-09-03
2515121722,2,4,2,2018-11-19,0,,0,,,0,0,,2019-09-03
2515121723,2,2,1,2019-02-12,0,,0,,30.4,4.03,3.64,141,2019-09-03
2515121725,2,3,2,2018-11-11,0,,0,,19.8,4.35,4.13,115,2019-09-03
2515121726,2,4,1,2019-01-10,0,,0,,27.1,5.3,4.28,39,2019-09-03
2515121778,2,3,1,2019-04-12,1,2019-04-29,0,,41.3,4.23,3.61,33,2019-09-03
2515121779,2,2,2,2019-02-07,0,,0,,29.1,3.92,4.06,76,2019-09-03
2515121780,1,2,4,2018-06-02,1,2018-06-18,0,,,0,0,,2019-09-03
2515121781,2,2,1,2018-12-28,0,,0,,17.1,5.24,4.54,109,2019-09-03
2515121782,2,3,2,2018-11-21,0,,0,,33.1,3.88,3.68,59,2019-09-03
2515121783,2,4,1,2019-06-17,0,,0,,37.9,4.13,3.28,414,2019-09-03
2515121784,2,2,1,2019-03-18,0,,1,2019-03-22,35,3.63,3.48,24,2019-09-03
2515121786,2,3,1,2019-02-18,0,,0,,33.8,5.86,4.02,840,2019-09-03
2515121787,2,3,2,2019-05-28,0,,0,,42.6,3.3,3.06,38,2019-09-03
2515121788,2,2,1,2018-12-31,0,,0,,32.6,4.44,3.64,76,2019-09-03
2515121790,1,2,1,2018-01-09,0,,0,,21,6.04,4.34,61,2019-01-15
2515121791,2,2,1,2018-12-20,0,,1,2018-12-23,29.5,4.27,3.42,63,2019-07-30
2515121792,2,3,2,2019-08-16,0,,0,,30.6,4.61,3.77,867,2019-09-03
2515121794,2,3,2,2019-01-04,0,,0,,22.7,4.33,3.82,114,2019-09-03
2515121795,2,3,1,2019-06-09,0,,0,,43.3,3.29,3.41,2588,2019-09-03
2515121798,2,3,1,2019-04-18,0,,0,,37,3.32,3.51,221,2019-07-30
2515121799,2,3,2,2019-05-31,0,,0,,35,5.26,3.87,25,2019-09-03
2515121800,2,2,1,2019-01-18,0,,0,,18.1,5.3,4.47,256,2019-09-03
2515121802,1,2,2,2018-01-20,0,,0,,25.4,5.22,4.88,656,2019-01-15
2515121803,1,3,4,2018-09-16,0,,0,,22.5,4.53,4.18,17,2019-03-19
2515121804,1,2,1,2018-02-22,0,,0,,23.4,5.52,4.63,26,2019-09-03
2515121805,2,2,1,2019-03-17,1,2019-03-27,0,,28.8,5.24,3.95,49,2019-09-03
2515121806,2,3,2,2019-03-28,0,,0,,27.3,5,3.74,2722,2019-09-03
2515121807,2,3,2,2019-04-19,0,,0,,32.4,4.05,3.53,1643,2019-09-03
2515121808,2,3,2,2019-06-06,0,,0,,37.2,4.59,3.6,72,2019-09-03
2515121809,1,2,1,2018-07-26,0,,0,,18.8,5.87,4.22,74,2019-01-15
2515121810,1,3,2,2018-05-07,0,,0,,24.1,4.48,4.46,21,2019-01-15
2515121811,2,3,1,2019-05-24,0,,0,,37,4.1,3.77,275,2019-09-03
2515121812,1,2,2,2019-02-24,0,,0,,23.6,5.82,4.53,65,2019-09-03
2515121814,2,3,2,2019-05-08,0,,1,2019-05-12,37.9,4.33,3.64,106,2019-09-03
2515121815,2,3,2,2019-07-15,0,,0,,24.3,5.7,3.37,31,2019-09-03
2515121816,2,3,2,2019-05-14,0,,0,,30,4.74,3.91,2116,2019-09-03
2515121817,2,3,2,2019-02-06,0,,0,,15.5,5.01,4.18,120,2019-02-19
2515121818,2,3,1,2019-01-11,0,,0,,36.3,4.29,3.82,1280,2019-09-03
2515121821,2,2,1,2018-12-31,0,,0,,20.6,5,3.56,1626,2019-07-30
2515121822,2,3,2,2019-07-25,0,,0,,41.7,3.12,3.22,12,2019-09-03
2515121823,2,2,1,2019-08-30,0,,0,,31.6,7.22,4.58,117,2019-09-03
2515121824,1,2,2,2018-06-20,0,,0,,,0,0,,2019-09-03
2515121825,2,3,1,2019-06-25,0,,0,,33.4,4.36,3.31,14,2019-09-03
2515121826,1,3,4,2018-06-06,0,,0,,12.9,6,4.89,247,2019-09-03
2515121927,2,2,1,2019-07-05,0,,1,2019-07-08,29.5,4.81,3.87,43,2019-09-03
2515121932,2,3,2,2019-05-08,0,,0,,26.7,4,4.02,33,2019-09-03
2515121934,1,2,2,2018-11-15,0,,0,,29.8,5.33,4.01,399,2019-09-03
2515121935,1,3,1,2018-11-26,0,,0,,26.3,4.69,4.01,16,2019-09-03
2515121936,2,,2,2019-08-05,1,2019-08-07,0,,33.7,5.38,3.37,12,2019-09-03
2515121937,1,2,2,2018-06-23,0,,0,,,0,0,,2019-09-03
2515121938,2,3,1,2019-06-09,0,,0,,30.1,5.54,3.89,650,2019-09-03
2515121940,1,2,2,2018-07-02,0,,0,,,0,0,,2019-09-03
2515121941,2,4,1,2019-07-29,0,,0,,46.4,4.58,3.58,222,2019-09-03
2515121942,2,,1,2019-09-10,0,,0,,,0,0,,2019-09-03
2515121943,2,1,2,2019-07-16,1,2019-07-25,0,,13.7,4.56,4.64,86,2019-07-30
2515121944,1,2,2,2018-11-25,0,,0,,25.7,4.54,4.06,29,2019-09-03
2515121946,1,2,2,2018-10-04,0,,0,,27.8,4.51,3.85,31,2019-05-21
2515121948,2,3,1,2019-07-03,0,,0,,34.7,3.95,3.14,49,2019-09-03
2515121949,1,3,2,2018-09-13,0,,0,,29.8,5.81,4.13,43,2019-09-03
2515121950,1,3,1,2018-07-31,0,,0,,26.8,4.52,4.09,141,2019-09-03
2515121951,1,3,1,2018-12-11,0,,0,,22.1,4.46,3.81,50,2019-09-03
2515121953,2,3,2,2019-04-28,0,,0,,27.8,6.39,4.39,22,2019-09-03
2515121954,2,3,1,2019-07-06,0,,0,,39.9,4.88,3.27,28,2019-09-03
2515121955,1,2,2,2018-10-04,0,,0,,18.8,5.71,4.14,101,2019-01-15
2515121956,1,2,2,2018-12-17,0,,0,,20.2,5.09,4.58,61,2019-09-03
2515121957,2,3,1,2019-08-09,0,,0,,39.2,4.83,3.35,12,2019-09-03
2515121958,1,3,2,2018-12-29,0,,0,,24.3,4.85,4.31,28,2019-09-03
2515121959,2,,1,2019-07-31,0,,0,,37.4,5.18,3.44,458,2019-09-03
2515121961,2,3,2,2019-07-21,0,,0,,40.5,6.06,3.37,37,2019-09-03
2515121962,1,3,1,2018-08-25,0,,0,,32.5,4.29,3.6,20,2019-09-03
2515121963,2,2,1,2019-08-22,0,,0,,34.1,5.21,3.64,30,2019-09-03
2515121964,1,3,1,2019-02-16,0,,0,,33.7,5.98,3.98,124,2019-09-03
2515121965,2,2,2,2019-07-16,0,,0,,29.3,5.22,4.14,13,2019-09-03
2515121966,1,3,3,2018-08-30,0,,0,,21.7,4.56,4.02,42,2019-09-03
2515121967,1,3,3,2018-08-23,0,,0,,27.4,5.49,4.17,263,2019-09-03
2515121968,2,3,2,2019-08-16,0,,0,,37.3,4.79,3.39,230,2019-09-03
2515121969,1,2,1,2018-12-20,0,,0,,26.2,4.2,3.65,28,2019-09-03
