"dyr_anon","paritet","kalv_stoer","kalv_kon","klv_dato","metritis","metritis_dato","Efterbyrd","Efterbyrd_dato","maelk","fedt_pct","prot_pct","Celletal","ydelse_dato"
2515122195,1,2,1,2019-04-10,0,,0,,25.1,4.79,3.6,375,2019-09-03
2515122196,1,3,2,2019-05-28,0,,0,,17.8,7.08,3.76,816,2019-09-03
2515122199,1,2,1,2019-03-17,0,,0,,26.8,4.57,3.86,61,2019-09-03
2515122201,1,3,2,2019-07-17,0,,0,,26.1,5.04,3.52,80,2019-09-03
2515122202,1,2,3,2019-06-19,0,,0,,24.3,4.83,3.21,40,2019-09-03
2515122203,1,3,1,2019-05-08,0,,0,,20,4.3,3.51,,2019-05-21
2515122204,1,2,2,2019-05-27,0,,0,,25.2,4.96,3.62,92,2019-09-03
2515122205,1,2,2,2019-06-27,0,,0,,31.8,3.43,3.36,72,2019-09-03
2515122206,1,3,2,2019-05-03,0,,0,,33.5,4.45,3.68,66,2019-09-03
2515122209,1,2,2,2019-05-26,0,,0,,24,4.46,3.76,18,2019-09-03
2515122210,1,4,2,2019-05-08,1,2019-05-27,0,,25.9,3.66,3.67,25,2019-09-03
2515122212,1,1,2,2019-05-15,0,,0,,23,4.84,3.48,60,2019-09-03
2515122213,1,3,1,2019-07-25,1,2019-08-12,0,,35.2,3.83,3.25,26,2019-09-03
2515122214,1,3,2,2019-05-07,0,,0,,19.9,6.29,3.66,15,2019-09-03
2515122215,1,2,2,2019-07-18,0,,0,,18.9,5.12,3.56,75,2019-09-03
2515122216,1,3,2,2019-08-07,0,,0,,26.6,4.36,3.75,121,2019-09-03
2515122218,1,2,4,2019-06-18,0,,0,,15.8,4.85,3.39,15,2019-07-30
2515122220,1,1,2,2019-06-15,0,,0,,26.5,4.48,3.67,96,2019-09-03
2515122221,1,2,2,2019-07-04,0,,0,,28.7,4.96,3.6,15,2019-09-03
2515122223,1,2,2,2019-07-17,0,,0,,33.5,4.06,3.46,40,2019-09-03
2515122227,1,3,2,2019-07-17,0,,0,,23.9,3.96,3.48,12,2019-09-03
2515122229,1,3,2,2019-07-14,0,,0,,34.9,3.55,3.36,12,2019-09-03
2515122230,1,2,1,2019-08-24,0,,0,,20,5.56,4.08,65,2019-09-03
2515122231,1,3,1,2019-07-23,0,,0,,34.9,4.43,3.1,16,2019-09-03
2515122232,1,2,2,2019-07-22,0,,0,,27,4.65,3.62,194,2019-09-03
2515122235,1,2,2,2019-08-22,0,,0,,14.9,4.81,3.74,129,2019-09-03
2515122236,1,,1,2019-09-01,0,,0,,,,,,2019-09-03
2515122237,1,2,4,2019-06-24,0,,0,,27.6,4.29,3.6,6,2019-09-03
2515122239,1,3,1,2019-08-26,0,,0,,13.1,5.58,4.42,177,2019-09-03
2515122240,1,2,4,2019-06-19,0,,0,,30.9,4.26,3.61,18,2019-09-03
2515122241,1,3,1,2019-08-22,0,,0,,19.3,4.81,3.8,57,2019-09-03
2515122242,1,3,2,2019-08-10,0,,0,,21.8,4.3,3.85,952,2019-09-03
2515122243,1,3,3,2019-06-27,0,,0,,24.8,4.83,3.62,165,2019-09-03
2515122245,1,2,3,2019-07-02,1,2019-07-15,0,,27.3,3.75,3.74,11,2019-09-03
2515122249,1,3,2,2019-07-22,0,,0,,21.5,3.44,3.83,54,2019-09-03
2515122252,1,2,1,2019-08-18,0,,0,,19.8,5.25,3.86,93,2019-09-03
2515122253,1,3,1,2019-08-08,0,,0,,26.5,4.41,3.7,11,2019-09-03
2515122254,1,3,2,2019-08-10,1,2019-08-26,0,,22,4.29,3.5,19,2019-09-03
2515122256,1,3,2,2019-08-22,0,,0,,22.1,5.17,3.61,274,2019-09-03
2515122258,1,3,1,2019-08-30,0,,0,,8.8,2.12,6.03,1053,2019-09-03
2515122260,1,,2,2019-09-02,0,,0,,,,,,2019-09-03
